01108040303930190020053700538                                     0118003                         
011090403039302X0010053900539                                     0100000                         
01110040303930390150054000554                                     0100000                         
01111040303930190020055500556                                     0200000                         
011120403039302X0010055700557                                     0200000                         
01113040303930390150055800572                                     0200000                         
01114040303930190020057300574                                     0300000                         
011150403039302X0010057500575                                     0300000                         
01116040303930390150057600590                                     0300000                         
01117040303930190020059100592                                     0400000                         
011180403039302X0010059300593                                     0400000                         
01119040303930390150059400608                                     0400000                         
01120040303930190020060900610                                     0500000                         
011210403039302X0010061100611                                     0500000                         
01122040303930390150061200626                                     0500000                         
01123040303930190020062700628                                     0600000                         
011240403039302X0010062900629                                     0600000                         
01125040303930390150063000644                                     0600000                         
01126040303930190020064500646                                     0700000                         
011270403039302X0010064700647                                     0700000                         
01128040303930390150064800662                                     0700000                         
01129040303930190020066300664                                     0800000                         
011300403039302X0010066500665                                     0800000                         
01131040303930390150066600680                                     0800000                         
01132040303930190020068100682                                     0900000                         
011330403039302X0010068300683                                     0900000                         
01134040303930390150068400698                                     0900000                         
01135040303930190020069900700                                     1000000                         
011360403039302X0010070100701                                     1000000                         
01137040303930390150070200716                                     1000000                         
01138040303930190020071700718                                     1100000                         
011390403039302X0010071900719                                     1100000                         
01140040303930390150072000734                                     1100000                         
01141040303930190020073500736                                     1200000                         
011420403039302X0010073700737                                     1200000                         
01143040303930390150073800752                                     1200000                         
011440403039401X0010075300753                                  11 0001702                         
01145040303940290160075400769                                  11 0000000                         
011460403039501X0010077000770                                  11 0001302                         
01147040303950290150077100785                                  11 0000000                         
011480403039601X0010078600786                                  11 0001702                         
01149040303960290160078700802                                  11 0000000                         
01150040304000090100080300812                                     0000000                         
01151040304010090100081300822                                     0000000                         
01152040304020090100082300832                                     0000000                         
01153040200490090030083300835                                     0000000                         
01154040200500090030083600838                                     0000000                         
01155040200710090080083900846                                     0000000                         
01156040200930090110084700857                                     0000000                         
01157040201000090110085800868                                     0000000                         
011580403037500X0500086900918                                     0000000                         
01001060100000090040000100004                                     0000000                         
01002060200240090030002100023                                     0000000                         
010030603000501X0050002400028                                     0114004                         
01004060300050290020002900030                                     0100000                         
010050603000503X0040003100034                                     0100000                         
01006060300050490030003500037                                     0100000                         
010070603000501X0050003800042                                     0200000                         
01008060300050290020004300044                                     0200000                         
010090603000503X0040004500048                                     0200000                         
01010060300050490030004900051                                     0200000                         
010110603000501X0050005200056                                     0300000                         
01012060300050290020005700058                                     0300000                         
010130603000503X0040005900062                                     0300000                         
01014060300050490030006300065                                     0300000                         
010150603000501X0050006600070                                     0400000                         
01016060300050290020007100072                                     0400000                         
010170603000503X0040007300076                                     0400000                         
01018060300050490030007700079                                     0400000                         
010190603000501X0050008000084                                     0500000                         
01020060300050290020008500086                                     0500000                         
010210603000503X0040008700090                                     0500000                         
01022060300050490030009100093                                     0500000                         
010230603000501X0050009400098                                     0600000                         
01024060300050290020009900100                                     0600000                         
010250603000503X0040010100104                                     0600000                         
01026060300050490030010500107                                     0600000                         
010270603000501X0050010800112                                     0700000                         
01028060300050290020011300114                                     0700000                         
010290603000503X0040011500118                                     0700000                         
01030060300050490030011900121                                     0700000                         
010310603000501X0050012200126                                     0800000                         
01032060300050290020012700128                                     0800000                         
010330603000503X0040012900132                                     0800000                         
01034060300050490030013300135                                     0800000                         
010350603000501X0050013600140                                     0900000                         
01036060300050290020014100142                                     0900000                         
010370603000503X0040014300146                                     0900000                         
01038060300050490030014700149                                     0900000                         
010390603000501X0050015000154                                     1000000                         
01040060300050290020015500156                                     1000000                         
010410603000503X0040015700160                                     1000000                         
01042060300050490030016100163                                     1000000                         
010430603002501X0010016400164                                  11 0000702                         
01044060300250290060016500170                                  11 0000000                         
010450603002601X0010017100171                                  11 0000702                         
01046060300260290060017200177                                  11 0000000                         
01047060301380090080017800185                                     0000000                         
010480603016501X0010018600186                                     0003002                         
010490603016502X0290018700215                                     0000000                         
010500603028001X0030021600218                                  11 0002504                         
01051060302800290060021900224                                  11 0000000                         
010520603028003X0110022500235                                  11 0000000                         
01053060302800490050023600240                                  11 0000000                         
01054060200710090080024100248                                     0000000                         
010550602007200X9990024901247                                     0000000                         
01056060200930090110124801258                                     0000000                         
01057060200940090110125901269                                     0000000                         
01058060201000090110127001280                                     0000000                         
010590603000601X0030128101283                                     0001003                         
010600603000602X0010128401284                                     0000000                         
010610603000603X0060128501290                                     0000000                         
01001070100000090040000100004                                     0000000                         
01002070200240090030002100023                                     0000000                         
01003070200250090040002400027                                     0000000                         
01004070200710090080002800035                                     0000000                         
010050702007200X9990003601034                                     0000000                         
01006070200930090110103501045                                     0000000                         
01007070200940090110104601056                                     0000000                         
01008070201000090110105701067                                     0000000                         
01001080100000090040000100004                                     0000000                         
01002080200240090030002100023                                     0000000                         
01003080301050190030002400026                                  11 0002504                         
01004080301050290060002700032                                  11 0000000                         
01005080301050390110003300043                                  11 0000000                         
01006080301050490050004400048                                  11 0000000                         
01007080303010090160004900064                                  11 0000000                         
01008080303060090080006500072                                  11 0000000                         
01009080200710090080007300080                                     0000000                         
01001090100000090040000100004                                     0000000                         
01002090200240090030002100023                                  1  0000000                         
01003090301050190030002400026                                  1  0002504                         
01004090301050290060002700032                                  1  0000000                         
01005090301050390110003300043                                  1  0000000                         
01006090301050490050004400048                                  1  0000000                         
01007090303010090160004900064                                  1  0000000                         
01008090303060090080006500072                                  1  0000000                         
01009090200710090080007300080                                  1  0000000                         
01001100100000090040000100004                                     0000000                         
01002100200240090030002100023                                  1  0000000                         
01003100200320090110002400034                                     0000000                         
01004100200330090110003500045                                  1  0000000                         
01005100301910090010004600046                                     0000000                         
01006100305010190020004700048                                  1  0001604                         
01007100305010290030004900051                                  1  0000000                         
01008100305010390030005200054                                  1  0000000                         
01009100305010490080005500062                                  1  0000000                         
010101003050500X0290006300091                                     0000000                         
010111003050600X0150009200106                                     0000000                         
010121003050700X0040010700110                                     0000000                         
010131003050800X0250011100135                                     0000000                         
01014100305090090060013600141                                     0000000                         
010151003051000X0080014200149                                     0000000                         
010161003051100X0250015000174                                     0000000                         
01017100305120090120017500186                                     0000000                         
01018100305130090120018700198                                     0000000                         
01019100305140090120019900210                                     0000000                         
01020100305970190120021100222                                     0001403                         
01021100305970290010022300223                                     0000000                         
010221003059703X0010022400224                                     0000000                         
010231003059800X0010022500225                                     0000000                         
010241003067900X0150022600240                                     0000000                         
010251003068201X0010024100241                                     0004608                         
01026100306820290120024200253                                     0000000                         
01027100306820390050025400258                                     0000000                         
01028100306820490010025900259                                     0000000                         
010291003068205X0040026000263                                     0000000                         
010301003068206X0020026400265                                     0000000                         
010311003068207X0200026600285                                     0000000                         
010321003068208X0010028600286                                     0000000                         
010331003068301X0010028700287                                     0004608                         
01034100306830290120028800299                                     0000000                         
01035100306830390050030000304                                     0000000                         
01036100306830490010030500305                                     0000000                         
010371003068305X0040030600309                                     0000000                         
010381003068306X0020031000311                                     0000000                         
